Element,Axis,FunctionNumber,FabNumber,Figure Name,Axis Name,,,,,,,,
GvFeather,stRaise,01,FAB2500,Floating_Feather,Up_Down,,,,,,,,
GvHand,stWristFwdBack,11,FAB2500,Hand,Wrist Fwd_Back,,,,,,,,
GvHand,stFingersOpenClose,12,FAB2500,Hand,Fingers Open_Close,,,,,,,,
GvHand,stWandRaise,13,FAB2500,Hand,Wand Raise,,,,,,,,
GvBook,stOpenClose,21,FAB2500,Locked_Book,Open_Close,,,,,,,,
GvAccordion,stBellows,01,FAB2600,Accordion,Bellows Open_Close,,,,,,,,
GvAccordion,stKeys,02,FAB2600,Accordion,Keys Depress,,,,,,,,
GvAccordion,stHorn,03,FAB2600,Accordion,Horn Spin,,,,,,,,
GvSaxophone,stValves,11,FAB2600,Saxophone,Valves Move,,,,,,,,
GvStringBass,stBanjo,21,FAB2600,StringBass,Banjo Pivot,,,,,,,,
GvSousaphone,stHorn1,31,FAB2600,Sousaphone,Horn 1 Up_Down,,,,,,,,
GvSousaphone,stHorn2,32,FAB2600,Sousaphone,Horn 2 Up_Down,,,,,,,,
GvSousaphone,stSlide,33,FAB2600,Sousaphone,Slide In_Out,,,,,,,,
GvKickDrum,stBass,41,FAB2600,KickDrum,Bass Drum Spin,,,,,,,,
GvKickDrum,stTambourine,42,FAB2600,KickDrum,Tambourine Shake,,,,,,,,
GvPercussionTower,stHiHats,51,FAB2600,PercussionTower,Hi_Hats Open_Close,,,,,,,,
GvWandWheel,stInnerRing,01,FAB2800,WandWheel,InnerRing,,,,,,,,
GvWandWheel,stOuterRing,02,FAB2800,WandWheel,OuterRing,,,,,,,,
GvWandWheel,stMedallion,03,FAB2800,WandWheel,Medallion,,,,,,,,
GvKpss,stTorsoRotate,01,FAB2900,Kicking Pants,TorsoRotate,,,,,,,,
GvKpss,stPantsSlide,02,FAB2900,Kicking Pants,PantsSlide,,,,,,,,
GvKpss,stRightLegHip,03,FAB2900,Kicking Pants,RightLegHip,,,,,,,,
GvKpss,stRightLegKnee,04,FAB2900,Kicking Pants,RightLegKnee,,,,,,,,
GvKpss,stPedalUpDown,05,FAB2900,Kicking Pants,PedalUpDown,,,,,,,,
GvVanityCase,stOpenClose,21,FAB2900,Vanity Case,Open_Close,,,,,,,,
GvBookCase,stOpenClose,31,FAB2900,Book Case,Open_Close,,,,,,,,
GvPotionCase,stOpenClose,41,FAB2900,Potion Case,Open_Close,,,,,,,,
GvCircularCase,stOpenClose,51,FAB2900,Circular Case,Open_Close,,,,,,,,
GvDiningCase,stOpenClose,61,FAB2900,Dining Case,Open_Close,,,,,,,,
GvMuggleSuitcase,stOpenClose,71,FAB2900,Muggle Suitcase,Open_Close,,,,,,,,
GvMuggleSuitcase,stContents,72,FAB2900,Muggle Suitcase,Contents,,,,,,,,
GvMuggleSuitcase,stSwitch,73,FAB2900,Muggle Suitcase,Switch,,,,,,,,
